Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
371	1,3825	0,63926	0,	2,7267e+006
372	8,77	2,9276	0,	0,9318
373	4,8518	3,2149	0,	-2,4271e+005
374	1,7333	5,4964	0,	-4977,9
375	1,0196	6,2928	0,	1,4212e+005
376	1,8546	0,41856	0,	3,4435e+006
377	8,1711	8,868	0,	8823,7
378	8,8011	6,9287	0,	-11646
379	6,1526	4,602	0,	-1,6002e+005
380	1,6424	1,9013	0,	-1,7761e+006
381	1,7264	2,9481	0,	-8,2396e+005
382	1,8289	6,7611	0,	1,0311e+005
383	9,5205	2,9486	0,	147,4
384	7,1262	1,8124	0,	86894
385	6,097	8,6938	0,	45391
386	4,5796	1,5833	0,	2,5101e+005
387	7,7956	5,1663	0,	-59162
388	6,1167	5,6101	0,	-1,3941e+005
389	5,2057	4,6622	0,	-2,4797e+005
390	8,7057	5,6776	0,	-24053
391	1,6756	0,51871	0,	3,2862e+006
392	3,3154	4,803	0,	-3,4247e+005
393	2,1407	1,2359	0,	-19964
394	3,5261	8,8697	0,	2,0233e+005
395	3,8134	3,3839	0,	-4,828e+005
396	1,2492	0,28926	0,	1,531e+005
397	1,2893	0,25	0,	9,824e+005
398	0,28906	1,2492	0,	-1,0442e+007
399	0,25	1,2895	0,	-8,9377e+006
400	1,2431	0,36754	0,	5,1644e+005
401	1,2861	0,33488	0,	1,1338e+006
402	1,2308	0,4451	0,	1,1949e+006
403	1,2763	0,41596	0,	1,5047e+006
404	1,2125	0,52145	0,	2,1018e+006
405	1,26	0,4967	0,	2,0571e+006
406	1,1882	0,59615	0,	3,1197e+006
407	1,2364	0,57521	0,	2,7166e+006
408	1,1581	0,66872	0,	4,1109e+006
409	1,2078	0,65073	0,	3,3921e+006
410	1,1225	0,7387	0,	4,939e+006
411	1,1743	0,72364	0,	3,9764e+006
412	1,0814	0,8057	0,	5,4765e+006
413	1,1346	0,79528	0,	4,3618e+006
414	1,0352	0,86925	0,	5,6124e+006
415	1,0892	0,86305	0,	4,4723e+006
416	0,98418	0,92895	0,	5,2737e+006
417	1,0388	0,92761	0,	4,2262e+006
418	0,92865	0,98446	0,	4,4366e+006
419	0,9828	0,98752	0,	3,6275e+006
420	0,86893	1,0354	0,	3,1199e+006
421	0,9217	1,0422	0,	2,6785e+006
422	0,80536	1,0816	0,	1,3932e+006
423	0,85668	1,0917	0,	1,3838e+006
424	0,73835	1,1227	0,	-6,3853e+005
425	0,78931	1,1356	0,	-1,6872e+005
426	0,66835	1,1583	0,	-2,8259e+006
427	0,71724	1,1753	0,	-1,9458e+006
428	0,59577	1,1883	0,	-4,9946e+006
429	0,64535	1,2092	0,	-3,7022e+006
430	0,52105	1,2126	0,	-6,9823e+006
431	0,57347	1,2368	0,	-5,3066e+006
432	0,44469	1,2309	0,	-8,6387e+006
433	0,4982	1,2598	0,	-6,7151e+006
434	0,36713	1,2431	0,	-9,8281e+006
435	0,41867	1,2771	0,	-7,8396e+006
436	0,33654	1,2875	0,	-8,5884e+006
437	9,931	0,25	0,	3411,6
438	10,25	0,57527	0,	-1425,3
439	1,3718	0,25	0,	2,4724e+006
440	1,327	0,29565	0,	1,9631e+006
441	1,4673	0,25	0,	3,3597e+006
442	1,4267	0,30241	0,	3,1472e+006
443	1,5837	0,25	0,	3,7819e+006
444	1,54	0,30972	0,	3,6855e+006
445	1,7265	0,25	0,	3,8129e+006
446	1,6741	0,32159	0,	3,7868e+006
447	1,905	0,25	0,	3,5515e+006
448	1,83	0,33428	0,	3,5926e+006
449	2,1261	0,25	0,	3,1122e+006
450	2,013	0,34952	0,	3,2176e+006
451	2,3962	0,25	0,	2,586e+006
452	2,2998	0,38821	0,	2,6064e+006
453	2,7283	0,25	0,	2,0455e+006
454	2,621	0,42269	0,	2,0495e+006
455	3,1367	0,25	0,	1,553e+006
456	3,0035	0,45944	0,	1,56e+006
457	3,6345	0,25	0,	1,1376e+006
458	3,4521	0,49593	0,	1,1595e+006
459	4,2153	0,25	0,	8,1354e+005
460	3,9822	0,53882	0,	8,3837e+005
461	4,841	0,25	0,	5,798e+005
462	4,5661	0,5799	0,	6,0379e+005
463	5,4772	0,25	0,	4,1636e+005
464	5,1817	0,61313	0,	4,3689e+005
465	6,1133	0,25	0,	2,9915e+005
466	5,8052	0,63391	0,	3,1819e+005
467	6,7494	0,25	0,	2,118e+005
468	6,4406	0,64439	0,	2,2925e+005
469	7,3855	0,25	0,	1,4452e+005
470	7,0751	0,63946	0,	1,6151e+005
471	8,0217	0,25	0,	91775
472	7,7143	0,61935	0,	1,0779e+005
473	8,6578	0,25	0,	50765
474	8,347	0,59631	0,	64982
475	9,2939	0,25	0,	20630
476	8,9826	0,58354	0,	31246
477	9,6166	0,58078	0,	7874,2
478	10,25	9,916	0,	40,328
479	9,9161	10,25	0,	-829,38
480	10,25	1,2339	0,	-1161,9
481	9,9357	0,90606	0,	3037,3
482	10,25	1,9013	0,	-744,88
483	9,935	1,5786	0,	2298,2
484	10,25	2,5692	0,	-198,46
485	9,9203	2,252	0,	1348,6
486	10,25	3,2371	0,	401,6
487	9,8853	2,9258	0,	127,74
488	10,25	3,905	0,	883,43
489	9,8552	3,5939	0,	-1348,
490	10,25	4,5729	0,	1117,4
491	9,8461	4,2623	0,	-2411,9
492	10,25	5,2408	0,	1087,7
493	9,853	4,9293	0,	-2797,2
494	10,25	5,9087	0,	898,63
495	9,8674	5,5906	0,	-2554,6
496	10,25	6,5766	0,	641,73
497	9,8852	6,2526	0,	-1893,1
498	10,25	7,2445	0,	353,67
499	9,8954	6,9166	0,	-1129,9
500	10,25	7,9124	0,	86,474
501	9,9005	7,5803	0,	-450,07
502	10,25	8,5803	0,	-102,43
503	9,9027	8,2466	0,	174,84
504	10,25	9,2482	0,	-162,68
505	9,9028	8,9108	0,	500,62
506	9,9075	9,578	0,	193,97
507	0,57528	10,25	0,	6,533e+005
508	0,25	9,9316	0,	5,8326e+005
509	9,2482	10,25	0,	-3004,5
510	9,5736	9,9119	0,	-675,74
511	8,5803	10,25	0,	-3104,5
512	8,8971	9,9098	0,	-479,78
513	7,9124	10,25	0,	2485,5
514	8,2228	9,8998	0,	3552,4
515	7,2445	10,25	0,	16796
516	7,5472	9,888	0,	13933
517	6,5766	10,25	0,	42870
518	6,8739	9,8729	0,	33147
519	5,9087	10,25	0,	83328
520	6,2031	9,8626	0,	63281
521	5,2408	10,25	0,	1,3951e+005
