Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
351	0,51334	1,2972	0,	-53233
352	0,4313	1,3165	0,	-3,1334e+005
353	0,34503	1,3281	0,	-4,6657e+005
354	1,1649	1,6929	0,	9,1327e+006
355	1,3475	1,192	0,	1,274e+007
356	1,6409	1,6833	0,	1,177e+007
357	1,1709	1,538	0,	9,6211e+006
358	1,4024	1,665	0,	1,0908e+007
359	1,6144	1,4546	0,	1,2523e+007
360	1,4793	1,2581	0,	1,3008e+007
361	1,3917	1,4574	0,	1,1698e+007
362	2,2872	8,8179	0,	9,9724e+006
363	1,4061	1,0503	0,	1,3973e+007
364	1,412	0,54647	0,	1,9748e+007
365	1,2531	1,3058	0,	1,1344e+007
366	2,511	5,2352	0,	9,9164e+006
367	7,4782	8,8135	0,	1,0019e+007
368	8,8687	8,2347	0,	1,0014e+007
369	4,3978	6,0829	0,	1,0181e+007
370	1,8693	1,272	0,	1,312e+007
371	1,3825	0,63926	0,	1,8761e+007
372	8,77	2,9276	0,	9,9732e+006
373	4,8518	3,2149	0,	1,055e+007
374	1,7333	5,4964	0,	9,64e+006
375	1,0196	6,2928	0,	9,6169e+006
376	1,8546	0,41856	0,	1,4442e+007
377	8,1711	8,868	0,	1,0013e+007
378	8,8011	6,9287	0,	1,0029e+007
379	6,1526	4,602	0,	1,0279e+007
380	1,6424	1,9013	0,	1,1113e+007
381	1,7264	2,9481	0,	9,7786e+006
382	1,8289	6,7611	0,	9,8048e+006
383	9,5205	2,9486	0,	9,8868e+006
384	7,1262	1,8124	0,	1,0136e+007
385	6,097	8,6938	0,	1,0032e+007
386	4,5796	1,5833	0,	1,0583e+007
387	7,7956	5,1663	0,	1,0106e+007
388	6,1167	5,6101	0,	1,0215e+007
389	5,2057	4,6622	0,	1,0357e+007
390	8,7057	5,6776	0,	1,0038e+007
391	1,6756	0,51871	0,	1,5963e+007
392	3,3154	4,803	0,	1,023e+007
393	2,1407	1,2359	0,	1,269e+007
394	3,5261	8,8697	0,	1,0005e+007
395	3,8134	3,3839	0,	1,0678e+007
396	1,2492	0,28926	0,	3,0557e+007
397	1,2893	0,25	0,	2,8414e+007
398	0,28906	1,2492	0,	-87962
399	0,25	1,2895	0,	-2,7742e+005
400	1,2431	0,36754	0,	2,9699e+007
401	1,2861	0,33488	0,	2,7991e+007
402	1,2308	0,4451	0,	2,8013e+007
403	1,2763	0,41596	0,	2,6891e+007
404	1,2125	0,52145	0,	2,5632e+007
405	1,26	0,4967	0,	2,5147e+007
406	1,1882	0,59615	0,	2,2705e+007
407	1,2364	0,57521	0,	2,2909e+007
408	1,1581	0,66872	0,	1,9412e+007
409	1,2078	0,65073	0,	2,0278e+007
410	1,1225	0,7387	0,	1,5952e+007
411	1,1743	0,72364	0,	1,7404e+007
412	1,0814	0,8057	0,	1,2519e+007
413	1,1346	0,79528	0,	1,4405e+007
414	1,0352	0,86925	0,	9,2967e+006
415	1,0892	0,86305	0,	1,1492e+007
416	0,98418	0,92895	0,	6,4262e+006
417	1,0388	0,92761	0,	8,7752e+006
418	0,92865	0,98446	0,	4,0145e+006
419	0,9828	0,98752	0,	6,3457e+006
420	0,86893	1,0354	0,	2,1208e+006
421	0,9217	1,0422	0,	4,2601e+006
422	0,80536	1,0816	0,	7,608e+005
423	0,85668	1,0917	0,	2,5905e+006
424	0,73835	1,1227	0,	-1,0115e+005
425	0,78931	1,1356	0,	1,3671e+006
426	0,66835	1,1583	0,	-5,4157e+005
427	0,71724	1,1753	0,	5,2141e+005
428	0,59577	1,1883	0,	-6,6353e+005
429	0,64535	1,2092	0,	52628
430	0,52105	1,2126	0,	-5,7918e+005
431	0,57347	1,2368	0,	-1,7971e+005
432	0,44469	1,2309	0,	-3,9546e+005
433	0,4982	1,2598	0,	-2,762e+005
434	0,36713	1,2431	0,	-2,0618e+005
435	0,41867	1,2771	0,	-3,0255e+005
436	0,33654	1,2875	0,	-2,9358e+005
437	9,931	0,25	0,	9,711e+006
438	10,25	0,57527	0,	9,6521e+006
439	1,3718	0,25	0,	2,4214e+007
440	1,327	0,29565	0,	2,5848e+007
441	1,4673	0,25	0,	2,0821e+007
442	1,4267	0,30241	0,	2,1767e+007
443	1,5837	0,25	0,	1,8048e+007
444	1,54	0,30972	0,	1,8723e+007
445	1,7265	0,25	0,	1,5861e+007
446	1,6741	0,32159	0,	1,639e+007
447	1,905	0,25	0,	1,4177e+007
448	1,83	0,33428	0,	1,4672e+007
449	2,1261	0,25	0,	1,293e+007
450	2,013	0,34952	0,	1,3399e+007
451	2,3962	0,25	0,	1,2045e+007
452	2,2998	0,38821	0,	1,2274e+007
453	2,7283	0,25	0,	1,1435e+007
454	2,621	0,42269	0,	1,16e+007
455	3,1367	0,25	0,	1,1017e+007
456	3,0035	0,45944	0,	1,1144e+007
457	3,6345	0,25	0,	1,073e+007
458	3,4521	0,49593	0,	1,0836e+007
459	4,2153	0,25	0,	1,0532e+007
460	3,9822	0,53882	0,	1,0618e+007
461	4,841	0,25	0,	1,0394e+007
